ID,Course,Description
1,Linear Algebra,"This course covers vector spaces, matrices, and linear transformations. Students learn eigenvalues, eigenvectors, and systems of linear equations. It provides essential mathematical foundations for computer science and engineering applications."
2,Introduction to Programming,"An introductory course on core programming concepts using Python. Topics include variables, loops, conditional statements, functions, and basic data structures. Focuses on problem-solving and writing clean, efficient code."
3,Discrete Mathematics,"Explore mathematical structures that are fundamentally discrete rather than continuous. Covers mathematical logic, set theory, combinatorics, graph theory, and Boolean algebra. Vital for understanding algorithms and computational complexity."
4,Mathematical Analysis,"Focuses on calculus, limits, continuity, derivatives, and integrals. Covers sequences, infinite series, and multidimensional differential calculus. Provides the theoretical backbone for advanced scientific and engineering computations."
5,Databases,"Introduction to relational database management systems and SQL language. Covers database design, entity-relationship models, normalization, and transaction management. Includes practical experience with structured data processing."
6,Machine Learning,"Introduction to supervised and unsupervised machine learning algorithms. Covers linear regression, decision trees, neural networks, and clustering techniques. Students learn to build predictive models using Python libraries like scikit-learn."
7,Web Development with Python,"Learn to build modern web applications using Python frameworks like Django or Flask. Covers HTML, CSS, JavaScript basics, and backend server-side logic. Focuses on implementing CRUD operations and database integration."
8,Data Science Fundamentals,"An introduction to data analysis, visualization, and statistical methods. Students use Pandas and NumPy for data manipulation and preprocessing. Covers exploratory data analysis and extracting insights from large datasets."
9,Artificial Intelligence,"Concepts of intelligent agents, search algorithms, knowledge representation, and reasoning. Explores deep learning, natural language processing, and heuristic problem solving. Prepares students for designing advanced AI systems."
10,Software Engineering,"Study software development lifecycles, design patterns, and agile methodologies. Focuses on object-oriented programming principles, code refactoring, and version control. Emphasizes team collaboration and building scalable software systems."
11,Computer Vision,"Introduction to digital image processing and computer vision techniques. Covers image filtering, edge detection, object recognition, and deep convolutional networks. Students implement vision algorithms using OpenCV and Python."
